,champion,gameId,lane,platformId,queue,role,season,timestamp
0,76,4771732957,JUNGLE,KR,430,NONE,13,1604855421925
1,117,4768819887,MID,KR,900,DUO,13,1604763300707
2,517,4768782965,TOP,KR,900,DUO,13,1604761452302
3,203,4767834752,JUNGLE,KR,420,NONE,13,1604744991918
4,203,4767722643,JUNGLE,KR,420,NONE,13,1604741229773
5,203,4767616154,NONE,KR,420,DUO_SUPPORT,13,1604739145113
6,203,4767630831,NONE,KR,420,DUO_SUPPORT,13,1604737613663
7,76,4767514754,JUNGLE,KR,420,NONE,13,1604735821858
8,120,4767467732,JUNGLE,KR,420,NONE,13,1604733971379
9,876,4767328013,JUNGLE,KR,420,NONE,13,1604730941589
10,876,4767176910,JUNGLE,KR,420,NONE,13,1604727173155
11,876,4767158918,JUNGLE,KR,420,NONE,13,1604724570414
12,497,4766914067,MID,KR,900,SOLO,13,1604711102213
13,245,4765870545,JUNGLE,KR,420,NONE,13,1604669180479
14,76,4765852085,NONE,KR,420,DUO_SUPPORT,13,1604667290824
15,203,4765653305,JUNGLE,KR,420,NONE,13,1604662503445
16,203,4765473352,JUNGLE,KR,420,NONE,13,1604659700190
17,876,4765406684,NONE,KR,420,DUO_SUPPORT,13,1604657342082
18,876,4765317799,JUNGLE,KR,420,NONE,13,1604654130665
19,876,4764887151,JUNGLE,KR,420,NONE,13,1604649650299
20,104,4764941711,NONE,KR,420,DUO_SUPPORT,13,1604647571094
21,76,4764847347,NONE,KR,420,DUO_SUPPORT,13,1604645636050
22,48,4764800461,JUNGLE,KR,420,NONE,13,1604642378958
24,59,4764763177,JUNGLE,KR,420,NONE,13,1604638410803
25,876,4764668009,JUNGLE,KR,420,NONE,13,1604634941800
26,76,4764664958,JUNGLE,KR,420,NONE,13,1604632488773
27,876,4764466275,JUNGLE,KR,420,NONE,13,1604603041551
28,104,4764425201,NONE,KR,420,DUO_SUPPORT,13,1604601512890
29,79,4764384037,NONE,KR,420,DUO,13,1604600138417
30,876,4764328634,NONE,KR,420,DUO_SUPPORT,13,1604596099198
31,876,4764323983,JUNGLE,KR,420,NONE,13,1604593463601
32,80,4764237903,BOTTOM,KR,420,DUO_SUPPORT,13,1604590759987
33,64,4764224047,NONE,KR,420,DUO_SUPPORT,13,1604589303442
34,875,4763968159,TOP,KR,420,SOLO,13,1604581721188
35,76,4762854461,JUNGLE,KR,420,NONE,13,1604545744437
36,64,4762840994,JUNGLE,KR,420,NONE,13,1604542496726
37,876,4762696495,JUNGLE,KR,420,NONE,13,1604537358454
38,876,4762692890,JUNGLE,KR,420,NONE,13,1604530988040
39,876,4762711953,JUNGLE,KR,420,NONE,13,1604528745582
40,876,4762701076,JUNGLE,KR,420,NONE,13,1604526036769
41,64,4762669922,JUNGLE,KR,420,NONE,13,1604523909156
42,245,4762589063,JUNGLE,KR,420,NONE,13,1604520891390
43,64,4762637074,JUNGLE,KR,420,NONE,13,1604517768903
44,59,4762576179,NONE,KR,420,DUO_SUPPORT,13,1604515938155
45,517,4762613208,MID,KR,420,SOLO,13,1604513014978
46,64,4762572593,NONE,KR,420,DUO,13,1604512204628
47,104,4762529110,JUNGLE,KR,420,NONE,13,1604509904271
48,876,4762487345,NONE,KR,420,DUO_SUPPORT,13,1604508560420
49,76,4762474937,NONE,KR,420,DUO_SUPPORT,13,1604507177754
50,59,4762369411,NONE,KR,420,DUO_SUPPORT,13,1604504672196
51,876,4762395033,JUNGLE,KR,420,NONE,13,1604502881743
52,76,4762370281,JUNGLE,KR,420,NONE,13,1604501227602
53,876,4761983169,JUNGLE,KR,420,NONE,13,1604499049493
54,104,4761913421,JUNGLE,KR,420,NONE,13,1604496428081
55,76,4761717638,JUNGLE,KR,420,NONE,13,1604492285895
56,64,4761609588,JUNGLE,KR,420,NONE,13,1604490085373
57,104,4761650072,JUNGLE,KR,420,NONE,13,1604487258179
58,76,4761504845,JUNGLE,KR,420,NONE,13,1604485269972
59,104,4760463115,JUNGLE,KR,420,NONE,13,1604429934091
60,876,4760451176,JUNGLE,KR,420,NONE,13,1604427610083
61,876,4760339306,NONE,KR,420,DUO_SUPPORT,13,1604426233175
62,64,4760336406,JUNGLE,KR,420,NONE,13,1604423967344
63,245,4760249725,JUNGLE,KR,420,NONE,13,1604420114331
64,245,4760255080,JUNGLE,KR,420,NONE,13,1604418165079
65,76,4760260667,NONE,KR,420,DUO_SUPPORT,13,1604416478292
66,104,4760046517,JUNGLE,KR,420,NONE,13,1604412090050
67,76,4759929107,JUNGLE,KR,420,NONE,13,1604410008041
68,64,4759788426,JUNGLE,KR,420,NONE,13,1604407137340
69,64,4759758354,JUNGLE,KR,420,NONE,13,1604404826634
70,107,4759654553,JUNGLE,KR,420,NONE,13,1604400737626
71,64,4759565604,JUNGLE,KR,420,NONE,13,1604397677492
72,64,4758639275,NONE,KR,420,DUO_SUPPORT,13,1604363187002
73,104,4758577895,JUNGLE,KR,420,NONE,13,1604359627090
74,876,4758655559,NONE,KR,420,DUO_SUPPORT,13,1604356846860
75,64,4758664953,NONE,KR,420,DUO_SUPPORT,13,1604355352036
76,107,4758634840,JUNGLE,KR,420,NONE,13,1604352427123
77,64,4758614023,JUNGLE,KR,420,NONE,13,1604350208872
78,64,4758612888,JUNGLE,KR,420,NONE,13,1604347795845
79,89,4758582013,NONE,KR,420,DUO_SUPPORT,13,1604345312393
80,59,4758549348,JUNGLE,KR,420,NONE,13,1604343187514
81,64,4758557447,JUNGLE,KR,420,NONE,13,1604341200556
82,107,4757739994,NONE,KR,420,DUO_SUPPORT,13,1604312839725
83,107,4757763956,JUNGLE,KR,420,NONE,13,1604310852760
84,64,4757579225,JUNGLE,KR,420,NONE,13,1604308596778
85,876,4757525839,JUNGLE,KR,420,NONE,13,1604306999751
86,876,4757550753,JUNGLE,KR,420,NONE,13,1604305004155
87,876,4757201058,JUNGLE,KR,420,NONE,13,1604300615124
