,tier,leaguePoints,summonerId,summonerName,account_id
73,CHALLENGER,1002,lX8JYUbiRjmG2ZCVpQX0cUuJD8IXPIAN07ZH3LMkPhnlngc,yuioplmnbvcfgjhk,x2sABOC8CaLZif8zN5jrDts47haXHGZdOwzqTCezQKky3hys9hHEs6KW
74,CHALLENGER,811,pLwLnvbRltfIRTU8B1TCCXXMwXDe4iBMXZMwOw8s-JG61t8,DRX1200,tY8JhjcaNkJVro8HJw7isnxBX3OEtaROYL499vwggt7x-jU
75,CHALLENGER,1000,It0Fku47gsUgTVipCC5QgBug3g5tt-KWSx5OSprTHvR2Jcg,Gen G Karis,4gRAbMUiyh66VaNDRAmc5FBi-BReqKRSZ3yL7p6xA_1KgFeLVksCTajc
76,CHALLENGER,877,3ZeQdTGj0MhgBCzafaBT-U9j4okRAdx8rmi-svpgGx-77hA,읽씹맨,lQRqYXY3daTN7j9x2prM51hZq_xL0MCttIrjS2H7Brrozeo
77,CHALLENGER,1038,uvVTJpuidyNHWjK_KtWXrpPWm_zfbRKBr-m9BraIDbg0nuc,파이팅 인생,X3xOAaHmRQO9S6IOkP37ZkhdBk16CGNP6FpxWwsXC_ILIvcTy7_V_sDB
78,CHALLENGER,1084,A8f2iKt451_uxeib9SrZi3yC_fACZAJTU8w7MSFBM-z7AfA,팀개못하면누누함,UeLLohvEeBTe-_vZ311d0f2tl03Pvfdsq05QKBklq560pCHdga7KPBr7
79,CHALLENGER,1032,Kh3MkXuFIa7YvbvPDcu7m8cnMduPzFi44De2yBJzF1HNXIY,Oct0ber,fIPVPeYkt_8YSZEDIgrZe7lWc5wqKZDvI_FlDAWp6J-H03o
80,CHALLENGER,1007,_59J2LXHjrlaqX1OhLSQMPPSr0TOWOiNNJpJU9wk81vTC98,빌었어1,-7kWcioZiQyVSQjhkIAQ0b-n78PqoBewLOVOXh_5NCw2QBc
81,CHALLENGER,974,QHvRI2NoKG2PrdRJP8VO5VhI0GYwtbKfKvXGsM5V7I7vEK0,nnvbxz3324,WFL73KMZ196C-5w66ZZQ6JUJMhSdACpAaLU7tFbDUh63ZJk
82,CHALLENGER,1065,_y102FiaxQq7AAn41XeSUqtZQJtj0Dglya3a8pqxB4cpGPAK,lcmlcm,txVEnxY8ulI4RBGooUxfzBuYRCHtocGuYlCVymxN-MFkcnuvEJxv0iEq
83,CHALLENGER,1193,ngPvbEsSjylhrUIZ4UlErzl14KQvXKYNm84d7BsQdASZH8U,Gen G Khael,GGzX5S0z0F8o4X-gOhbVVJqcsE348oTOD0fCqHa2M-OkOWLVQVVU9BbM
84,CHALLENGER,934,__0Y3ykw2ktNDwBEcERlBVCyI5cH4tqyzgVNaNNn3nvquQ,Naehyun,7Y0h5pvABM7f2VAEAkv0BaB94_aG1ZM0WyEL1zvO11xe
85,CHALLENGER,1028,q_dxAJB4XkO7cChpMYcauHDDMbim7SjN3O1UCtFmu113-o4,FA Chasy,vNx47mh50KcxUEARA3GfCpEFpXwojIAVdc_hQEi7qVdiP8uh3sjmbIsB
86,CHALLENGER,875,GWohQ1bwaml_F2Z5WYbgqayLZjWYGqQ45hDuAvs_k2hBbQ,Axiyo,x0Wo2PCHshIaHHCPXrRYxkKynMdzjkFcdUjiit3GUNxZ
87,CHALLENGER,913,dPC7hsi348Nk4KBqqloIM1W7egrYonoPYpF5Yyl9AMiKVX8,직스 좀 믿어줘,whXpOvYpNJlOm-yLwjf6LOVMZEjkXmi2QQbNBhjmDBqSsYo
88,CHALLENGER,895,WW3j-fznNaWKMWIugQ3ryc1P4okw3PFHZROSdWolPFs8qjg,검정임포임,rI1ol2ydVnaozrMBncfgSp8hodkp8SGPPnJIb7FdaavnS4Sl1C6dN7TH
89,CHALLENGER,901,WRzY0V7DvLtrNdp3teKuh1wkrQdwXK1Y04YtuCQL4wC-Jpw,ZED99,y9DpDtb8gOaF1CEyJ8JE5r-rlCqRu7yCLN6tPkaMdvX6D0fu6Be9LX0n
